train_loss,val_loss
0.05229567187948337,0.03708008679717237
0.03233331432849316,0.03220626193494588
0.029360591825847646,0.030046287291395572
0.0278952493834433,0.02894836950529622
0.02700853475031751,0.02809450496562361
0.02639949913805599,0.02757172218171718
0.025935273458517687,0.027305122143644757
0.02567005068129117,0.026917857511052964
0.02538889348264097,0.026575055593745324
0.025153444313361185,0.026353796915326813
0.024948699437038948,0.026717832384599068
0.024796015124050334,0.02622539593734302
0.024697014876295376,0.02655781367485645
0.024585208194995493,0.0258050797193896
0.02441085962853887,0.02559122412680661
0.024334916719297755,0.025507129558552163
0.024226132257458597,0.025613779743270337
0.0241570552545425,0.026288435261297604
0.024082641601394034,0.025347834611877958
0.0239573742039074,0.02512432209740529
0.023911942107073515,0.027363944204246548
0.023815639328446964,0.025011896313190427
0.023791724840358252,0.02493578365643435
0.023693584601726256,0.024944151314471388
0.02367580290831795,0.0250580914675485
0.023616135438636932,0.025054578823432493
0.023566768703322853,0.02506454226569016
0.023557878248066155,0.02468679591841353
0.023494590501946577,0.024590714272103867
0.023460715849583282,0.024722538451503524
