train_loss,val_loss,train_acc,val_acc,train_f1,val_f1
0.6303591710122906,0.5793764193453267,0.7811601358782605,0.8038561373671462,0.7055928778273739,0.7375624935874727
0.5753920093702524,0.5631358052084301,0.7971017794288112,0.8012182756218437,0.7299736509075794,0.7403098367369498
0.565752703071817,0.5584501157934276,0.798685295183442,0.7971077730149718,0.7332692814318852,0.7398680076848566
0.5602463564570928,0.5542767230443351,0.8004907892255236,0.7956896744075348,0.7358139204794962,0.7342658782311833
0.5561645272556462,0.5492249456131406,0.8011010970707343,0.7937559035792114,0.7369715045291392,0.7375116478364045
0.5538931383714207,0.5442765764122305,0.8022962832676052,0.8027826466380898,0.7384249270243786,0.7436612428441657
0.5516129776810211,0.5459044515831968,0.8027889797051451,0.8138001819727934,0.7392376782484802,0.7493933284920146
0.5496658078106207,0.5459568941691911,0.8032482999323999,0.8126994201166708,0.7400170990039835,0.7517644383788538
0.5479182830244754,0.5403178911514143,0.8034644506275788,0.7943211596674906,0.740634022934248,0.7423722699363021
0.5469632595376163,0.5346643092108255,0.8036111999966093,0.8070914847145333,0.7408603352171291,0.7474403777478682
0.5459443309380545,0.53571013293032,0.8038141061638974,0.8053238198419762,0.741229434365195,0.7474703668204028
0.5450949758204785,0.5410879459524726,0.8042082633139293,0.8110805068462925,0.7417421523033506,0.7486705221674683
0.5439852735677506,0.5396489417261808,0.803747883524443,0.8026636453563468,0.7416924926350836,0.7455098937461297
0.5427933752412863,0.538517633383111,0.8042421693053298,0.8128878388127638,0.742108880188529,0.753904634584036
0.5420196724155039,0.5354049832568848,0.8043041536958591,0.805192422593385,0.7421667663019178,0.748026293163023
0.5414712307246224,0.5351382434890801,0.8050071732363057,0.8079988694878234,0.7429984854775273,0.7505832914654675
0.5407115561537985,0.534737681867119,0.8047332763995227,0.8037098649583372,0.7431676844971156,0.7491902149837273
0.5401674849812349,0.5334253883354841,0.80525299167396,0.8166091080606014,0.7434992277403498,0.7547730421400431
0.5391959029593253,0.5319746178292559,0.8053197440945299,0.8051056508254474,0.7439905277888812,0.7474735906309642
0.5388572646027388,0.5406845877800938,0.8054664934635606,0.815681889740354,0.7439818836985821,0.7530563697808961
