train_loss,val_loss,train_acc,val_acc,train_f1,val_f1
0.523327790023261,0.5113047288936341,0.8089164280885709,0.8050907756652296,0.7500213116341994,0.7556623873132606
0.5094379072472841,0.5043492495713517,0.8120733937566355,0.8164975443589674,0.755397719814991,0.7630616299501228
0.5020453703800515,0.5069562159175456,0.8141845715024381,0.8187263391982784,0.7587281659217928,0.7642659384543824
0.4974429964785806,0.49875450684193984,0.8152605569482912,0.8230748443686362,0.7605011170431751,0.7689050284737946
0.4936485889752374,0.49395343193840724,0.8167047402695102,0.8165892745136443,0.7621738160389614,0.7657734872535447
0.49043735322214965,0.49578576486083387,0.8174782206983363,0.8277629990306354,0.7635208454717297,0.7705542881615243
0.4875057449936608,0.503849697341876,0.8181441555606885,0.820868362269652,0.7646222254986594,0.7633419119742353
0.48523072450099136,0.4926223538647386,0.8191120656589523,0.8224996715068785,0.7656971600844094,0.7705794969777299
0.483385202522951,0.496158279829932,0.8199247498903353,0.8264564641248323,0.7667182654084962,0.771873839280995
0.4815716788834616,0.48711368385081316,0.8202712267399601,0.8151215920388143,0.767466561700126,0.76736888409778
0.4797281527102253,0.4907363834398056,0.8210632495078334,0.8185527956624032,0.768439036328784,0.7660014275912397
0.4785418477449981,0.48695482160730164,0.8206998196625083,0.8222120850759996,0.7681604323809743,0.772007750534318
0.4768219084758965,0.48552337052592137,0.8217609712371237,0.8157537863480738,0.7693455210580205,0.7681660429611321
0.4757240466030004,0.4867030961498736,0.8217773944517084,0.8225046298936178,0.7697086903531134,0.7711559787152857
0.47444877937566426,0.48166091204337996,0.8222372444600788,0.8208733206563912,0.7702911454387535,0.7717329819207078
0.4728932505516949,0.4888857592482341,0.8226785521294022,0.8226533814957965,0.770765351241279,0.7706912912763488
0.47221576992167913,0.4891641908018802,0.822878809391112,0.830428131903004,0.771247063050188,0.776587411150871
0.47090933996720535,0.4855322670677925,0.823271377197797,0.8228814672858039,0.7717927298061247,0.7731314186377574
0.46958032087351215,0.48521532038062104,0.8231913802493361,0.8155281797514361,0.771942109644363,0.7687724195391886
0.4687533192595573,0.4808403677416986,0.8234647473050035,0.8231541785564649,0.7721319507621847,0.7741563665465789
0.46783653605838466,0.4858710070228212,0.8239219484077959,0.8231219490426595,0.7728726687646302,0.7718804459984661
0.46705548603867303,0.48360050751959793,0.8242265725492856,0.833643645703434,0.7732716236347476,0.7797608112183486
0.46625914155184056,0.4840792282665596,0.8243341181157593,0.8201097290985405,0.7734055059183895,0.7700856612372207
0.46536855856246456,0.4836930681918832,0.8244167639697982,0.8232830966116864,0.773695740496179,0.7725623905052323
0.4642950249124903,0.4831985846130921,0.8252204419222154,0.8263151501027626,0.7743886125292796,0.7741101759822872
0.4632382311431253,0.48754713796684007,0.8252946112784042,0.8122407693432865,0.7745628898926812,0.7638553034083561
0.462588341623966,0.4813532802679898,0.8255224171581269,0.8207096938939946,0.7749716147843967,0.7721410771346773
0.46207914688889506,0.48092323925344554,0.8260659725827677,0.8232682214514685,0.7752874004347869,0.7741028685474232
0.4616284333519733,0.48328784769609057,0.8256696963082732,0.8304430070632219,0.7751137579899481,0.7767617177680682
0.4609877940882997,0.4812147818405298,0.8266089982262929,0.8257176645006781,0.7760020305918222,0.774764272115059
